Card_Names,Qty
Cathartic Reunion,4.0
City of Brass,4.0
Concealed Courtyard,2.0
Creeping Chill,4.0
Darkblast,1.0
Forgotten Cave,1.0
Gemstone Mine,4.0
Golgari Thug,4.0
Inspiring Vantage,2.0
Island,1.0
Narcomoeba,4.0
Otherworldly Gaze,4.0
Ox of Agonas,2.0
Prized Amalgam,4.0
Shivan Reef,4.0
Silversmote Ghoul,4.0
Stinkweed Imp,4.0
Swamp,1.0
Thrilling Discovery,4.0
,
Ancient Grudge,3.0
Blast Zone,2.0
Conflagrate,2.0
Lightning Axe,4.0
Tormod's Crypt,3.0
