id,cost,link,name,name_long,qty,store,shipping
56703,7.2,https://www.battlewizards.co.za/grapeshot-modern-masters/,Grapeshot,Grapeshot - Modern Masters,3,Battle Wizards,90
125953,8.0,https://store.topdecksa.co.za/products/grapeshot-catapult?_pos=2&_psq=Grapeshot&_ss=e&_v=1.0,Grapeshot,Grapeshot Catapult - Fifth Edition,6,TopDeck,90
125954,8.0,https://store.topdecksa.co.za/products/grapeshot-catapult?_pos=2&_psq=Grapeshot&_ss=e&_v=1.0,Grapeshot,Grapeshot Catapult - Fourth Edition,7,TopDeck,90
125955,8.0,https://store.topdecksa.co.za/products/grapeshot-catapult?_pos=2&_psq=Grapeshot&_ss=e&_v=1.0,Grapeshot,Grapeshot Catapult - Seventh Edition,2,TopDeck,90
21170,9.0,https://luckshack.co.za/index.php?route=product/product&product_id=35531,Grapeshot,Grapeshot,13,Luckshack,90
7122,8.0,https://store.topdecksa.co.za/products/island-shadowmoor?_pos=2&_psq=Island&_ss=e&_v=1.0,Island,Island - Shadowmoor - Shadowmoor - #286,1,TopDeck,90
7124,8.0,https://store.topdecksa.co.za/products/island-shadowmoor?_pos=2&_psq=Island&_ss=e&_v=1.0,Island,Island - Shadowmoor - Shadowmoor - #288,4,TopDeck,90
7126,8.0,https://store.topdecksa.co.za/products/island-shadowmoor?_pos=2&_psq=Island&_ss=e&_v=1.0,Island,Island - Shadowmoor - Shadowmoor - #289,2,TopDeck,90
7156,10.0,https://www.battlewizards.co.za/island-256-full-art/,Island,Island (#256) (Full-Art),8,Battle Wizards,90
7157,10.0,https://www.battlewizards.co.za/island-255-full-art/,Island,Island (#255) (Full-Art),14,Battle Wizards,90
7158,10.0,https://www.battlewizards.co.za/island-257-full-art/,Island,Island (#257) (Full-Art),21,Battle Wizards,90
7159,10.0,https://www.battlewizards.co.za/island-251-full-art/,Island,Island (#251) (Full-Art),19,Battle Wizards,90
7127,22.0,https://store.topdecksa.co.za/products/island-shadowmoor?_pos=2&_psq=Island&_ss=e&_v=1.0,Island,Island - Shadowmoor - Shadowmoor - #289 (Foil),2,TopDeck,90
